form	wsafter	testid	anas	lemma	xpostag	separated	previd	prevold	prevclosest
!	"\r\n"	.	[{"lemma": "!", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	!	[Punct]			.	.

-	" "	.	[{"lemma": "-", "tag": "[Hyph:Hyph]", "morphana": "-[Hyph:Hyph]=-", "readable": "-[Hyph:Hyph]", "twolevel": "-:- :[Hyph:Hyph]"}, {"lemma": "-", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	-	[Punct]			.	.
Hogy	" "	.	[{"lemma": "ahogy", "tag": "[/Adv|Pro|Rel]", "morphana": "ahogy[/Adv|Pro|Rel]=hogy", "readable": "ahogy[/Adv|Pro|Rel]=hogy", "twolevel": "h:a o:h g:o y:g :y :[/Adv|Pro|Rel]"}, {"lemma": "hogy", "tag": "[/Adv|Pro|Int]", "morphana": "hogy[/Adv|Pro|Int]=hogy", "readable": "hogy[/Adv|Pro|Int]", "twolevel": "h:h o:o g:g y:y :[/Adv|Pro|Int]"}, {"lemma": "hogy", "tag": "[/Cnj]", "morphana": "hogy[/Cnj]=hogy", "readable": "hogy[/Cnj]", "twolevel": "h:h o:o g:g y:y :[/Cnj]"}]	hogy	[/Adv|Pro|Int]			.	.
láttad	""	.	[{"lemma": "lát", "tag": "[/V][Pst.Def.2Sg]", "morphana": "lát[/V]=lát+tad[Pst.Def.2Sg]=tad", "readable": "lát[/V] + tad[Pst.Def.2Sg]", "twolevel": "l:l á:á t:t :[/V] t:t a:a d:d :[Pst.Def.2Sg]"}, {"lemma": "látta", "tag": "[/N][Poss.2Sg][Nom]", "morphana": "látta[/N]=látt+ad[Poss.2Sg]=ad+[Nom]=", "readable": "látta[/N]=látt + ad[Poss.2Sg] + [Nom]", "twolevel": "l:l á:á t:t t:t :a :[/N] a:a d:d :[Poss.2Sg] :[Nom]"}]	lát	[/V][Pst.Def.2Sg]			.	.
,	" "	.	[{"lemma": ",", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	,	[Punct]			.	.
te	" "	.	[{"lemma": "te", "tag": "[/N|Pro][2Sg][Nom]", "morphana": "te[/N|Pro]=te+[2Sg]=+[Nom]=", "readable": "te[/N|Pro] + [2Sg] + [Nom]", "twolevel": "t:t e:e :[/N|Pro] :[ :2 :S :g :] :[Nom]"}]	te	[/N|Pro][2Sg][Nom]			.	.
locsifecsi	""	.	[]	locsifecsi	[/V][Inf]			.	.
?	" "	.	[{"lemma": "?", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	?	[Punct]			.	.

Be	" "	p33	[{"lemma": "Be", "tag": "[/N][Nom]", "morphana": "Be[/N|Abbr|ChemSym]=Be+[Nom]=", "readable": "Be[/N|Abbr|ChemSym] + [Nom]", "twolevel": "B:B e:e :[/N|Abbr|ChemSym] :[Nom]"}, {"lemma": "be", "tag": "[/Prev]", "morphana": "be[/Prev]=be", "readable": "be[/Prev]", "twolevel": "b:b e:e :[/Prev]"}]		[/Prev]	conn	34	34	34
volt	" "	.	[{"lemma": "van", "tag": "[/V][Pst.NDef.3Sg]", "morphana": "van[/V]=vol+t[Pst.NDef.3Sg]=t", "readable": "van[/V]=vol + t[Pst.NDef.3Sg]", "twolevel": "v:v o:a l:n :[/V] t:t :[Pst.NDef.3Sg]"}, {"lemma": "volt", "tag": "[/Adj][Nom]", "morphana": "van[/V]=vol+t[_PerfPtcp/Adj]=t+[Nom]=", "readable": "van[/V]=vol + t[_PerfPtcp/Adj] + [Nom]", "twolevel": "v:v o:a l:n :[/V] t:t :[_PerfPtcp/Adj] :[Nom]"}, {"lemma": "volt", "tag": "[/Adj|Attr][Nom]", "morphana": "volt[/Adj|Attr]=volt+[Nom]=", "readable": "volt[/Adj|Attr] + [Nom]", "twolevel": "v:v o:o l:l t:t :[/Adj|Attr] :[Nom]"}, {"lemma": "volt", "tag": "[/N][Nom]", "morphana": "volt[/N|Unit]=volt+[Nom]=", "readable": "volt[/N|Unit] + [Nom]", "twolevel": "v:v o:o l:l t:t :[/N|Unit] :[Nom]"}]	van	[/V][Pst.NDef.3Sg]			.	.
kötve	" "	v33	[{"lemma": "köt", "tag": "[/V][_AdvPtcp/Adv]", "morphana": "köt[/V]=köt+ve[_AdvPtcp/Adv]=ve", "readable": "köt[/V] + ve[_AdvPtcp/Adv]", "twolevel": "k:k ö:ö t:t :[/V] v:v e:e :[_AdvPtcp/Adv]"}]	bek�t	[/Prev][/V][_AdvPtcp/Adv]	sep	34	34	34
a	" "	.	[{"lemma": "a", "tag": "[/Det|Art.Def]", "morphana": "a[/Det|Art.Def]=a", "readable": "a[/Det|Art.Def]", "twolevel": "a:a :[/Det|Art.Def]"}, {"lemma": "a", "tag": "[/Det|Pro|(Post)]", "morphana": "a[/Det|Pro|(Post)]=a", "readable": "a[/Det|Pro|(Post)]", "twolevel": "a:a :[/Det|Pro|(Post)]"}, {"lemma": "a", "tag": "[/N][Nom]", "morphana": "a[/N|Ltr]=a+[Nom]=", "readable": "a[/N|Ltr] + [Nom]", "twolevel": "a:a :[/N|Ltr] :[Nom]"}, {"lemma": "a", "tag": "[/N|Pro|(Post)][Nom]", "morphana": "a[/N|Pro|(Post)]=a+[Nom]=", "readable": "a[/N|Pro|(Post)] + [Nom]", "twolevel": "a:a :[/N|Pro|(Post)] :[Nom]"}]	a	[/Det|Art.Def]			.	.
szemed	""	.	[{"lemma": "szem", "tag": "[/N][Poss.2Sg][Nom]", "morphana": "szem[/N]=szem+ed[Poss.2Sg]=ed+[Nom]=", "readable": "szem[/N] + ed[Poss.2Sg] + [Nom]", "twolevel": "s:s z:z e:e m:m :[/N] e:e d:d :[Poss.2Sg] :[Nom]"}]	szem	[/N][Poss.2Sg][Nom]			.	.
!	"\r\n"	.	[{"lemma": "!", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	!	[Punct]			.	.

Féltettem	" "	.	[{"lemma": "féltett", "tag": "[/N][Poss.1Sg][Nom]", "morphana": "fél[/N]=fél+tett[/N]=tett+em[Poss.1Sg]=em+[Nom]=", "readable": "fél[/N] + tett[/N] + em[Poss.1Sg] + [Nom]", "twolevel": "f:f é:é l:l :[/N] t:t e:e t:t t:t :[/N] e:e m:m :[Poss.1Sg] :[Nom]"}, {"lemma": "féltette", "tag": "[/N][Poss.1Sg][Nom]", "morphana": "félt[/V]=félt+et[_Caus/V]=et+te[_Ger:tA/N]=t+em[Poss.1Sg]=em+[Nom]=", "readable": "félt[/V] + et[_Caus/V] + te[_Ger:tA/N]=t + em[Poss.1Sg] + [Nom]", "twolevel": "f:f é:é l:l t:t :[/V] e:e t:t :[_Caus/V] t:t :e :[_Ger:tA/N] e:e m:m :[Poss.1Sg] :[Nom]"}, {"lemma": "félt", "tag": "[/V][_Caus/V][Pst.Def.1Sg]", "morphana": "félt[/V]=félt+et[_Caus/V]=et+tem[Pst.Def.1Sg]=tem", "readable": "félt[/V] + et[_Caus/V] + tem[Pst.Def.1Sg]", "twolevel": "f:f é:é l:l t:t :[/V] e:e t:t :[_Caus/V] t:t e:e m:m :[Pst.Def.1Sg]"}, {"lemma": "félt", "tag": "[/V][_Caus/V][Pst.NDef.1Sg]", "morphana": "félt[/V]=félt+et[_Caus/V]=et+tem[Pst.NDef.1Sg]=tem", "readable": "félt[/V] + et[_Caus/V] + tem[Pst.NDef.1Sg]", "twolevel": "f:f é:é l:l t:t :[/V] e:e t:t :[_Caus/V] t:t e:e m:m :[Pst.NDef.1Sg]"}, {"lemma": "féltett", "tag": "[/Adj][Poss.1Sg][Nom]", "morphana": "félt[/V]=félt+ett[_PerfPtcp/Adj]=ett+em[Poss.1Sg]=em+[Nom]=", "readable": "félt[/V] + ett[_PerfPtcp/Adj] + em[Poss.1Sg] + [Nom]", "twolevel": "f:f é:é l:l t:t :[/V] e:e t:t t:t :[_PerfPtcp/Adj] e:e m:m :[Poss.1Sg] :[Nom]"}, {"lemma": "féltette", "tag": "[/N][Poss.1Sg][Nom]", "morphana": "félt[/V]=félt+ette[_Ger:tA/N]=ett+em[Poss.1Sg]=em+[Nom]=", "readable": "félt[/V] + ette[_Ger:tA/N]=ett + em[Poss.1Sg] + [Nom]", "twolevel": "f:f é:é l:l t:t :[/V] e:e t:t t:t :e :[_Ger:tA/N] e:e m:m :[Poss.1Sg] :[Nom]"}, {"lemma": "félt", "tag": "[/V][Pst.Def.1Sg]", "morphana": "félt[/V]=félt+ettem[Pst.Def.1Sg]=ettem", "readable": "félt[/V] + ettem[Pst.Def.1Sg]", "twolevel": "f:f é:é l:l t:t :[/V] e:e t:t t:t e:e m:m :[Pst.Def.1Sg]"}, {"lemma": "félt", "tag": "[/V][Pst.NDef.1Sg]", "morphana": "félt[/V]=félt+ettem[Pst.NDef.1Sg]=ettem", "readable": "félt[/V] + ettem[Pst.NDef.1Sg]", "twolevel": "f:f é:é l:l t:t :[/V] e:e t:t t:t e:e m:m :[Pst.NDef.1Sg]"}, {"lemma": "féltett", "tag": "[/Adj][Poss.1Sg][Nom]", "morphana": "féltett[/Adj]=féltett+em[Poss.1Sg]=em+[Nom]=", "readable": "féltett[/Adj] + em[Poss.1Sg] + [Nom]", "twolevel": "f:f é:é l:l t:t e:e t:t t:t :[/Adj] e:e m:m :[Poss.1Sg] :[Nom]"}]	félt	[/V][Pst.Def.1Sg]			.	.
is	""	.	[{"lemma": "is", "tag": "[/Adv]", "morphana": "is[/Adv]=is", "readable": "is[/Adv]", "twolevel": "i:i s:s :[/Adv]"}]	is	[/Adv]			.	.
,	" "	.	[{"lemma": ",", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	,	[Punct]			.	.
s	" "	.	[{"lemma": "s", "tag": "[/Cnj]", "morphana": "s[/Cnj]=s", "readable": "s[/Cnj]", "twolevel": "s:s :[/Cnj]"}, {"lemma": "s", "tag": "[/N][Nom]", "morphana": "s[/N|Ltr]=s+[Nom]=", "readable": "s[/N|Ltr] + [Nom]", "twolevel": "s:s :[/N|Ltr] :[Nom]"}, {"lemma": "s", "tag": "[/N][Nom]", "morphana": "s[/N|Unit|Abbr]=s+[Nom]=", "readable": "s[/N|Unit|Abbr] + [Nom]", "twolevel": "s:s :[/N|Unit|Abbr] :[Nom]"}]	s	[/Cnj]			.	.
ki	" "	p34	[{"lemma": "aki", "tag": "[/N|Pro|Rel][Nom]", "morphana": "aki[/N|Pro|Rel]=ki+[Nom]=", "readable": "aki[/N|Pro|Rel]=ki + [Nom]", "twolevel": "k:a i:k :i :[/N|Pro|Rel] :[Nom]"}, {"lemma": "ki", "tag": "[/N|Pro][Nom]", "morphana": "ki[/N|Pro]=ki+[Nom]=", "readable": "ki[/N|Pro] + [Nom]", "twolevel": "k:k i:i :[/N|Pro] :[Nom]"}, {"lemma": "ki", "tag": "[/N|Pro|Int][Nom]", "morphana": "ki[/N|Pro|Int]=ki+[Nom]=", "readable": "ki[/N|Pro|Int] + [Nom]", "twolevel": "k:k i:i :[/N|Pro|Int] :[Nom]"}, {"lemma": "ki", "tag": "[/Prev]", "morphana": "ki[/Prev]=ki", "readable": "ki[/Prev]", "twolevel": "k:k i:i :[/Prev]"}]		[/Prev]	conn	35	35	35
akartam	" "	.	[{"lemma": "akart", "tag": "[/Adj][Poss.1Sg][Nom]", "morphana": "akar[/V]=akar+t[_PerfPtcp/Adj]=t+am[Poss.1Sg]=am+[Nom]=", "readable": "akar[/V] + t[_PerfPtcp/Adj] + am[Poss.1Sg] + [Nom]", "twolevel": "a:a k:k a:a r:r :[/V] t:t :[_PerfPtcp/Adj] a:a m:m :[Poss.1Sg] :[Nom]"}, {"lemma": "akar", "tag": "[/V][Pst.Def.1Sg]", "morphana": "akar[/V]=akar+tam[Pst.Def.1Sg]=tam", "readable": "akar[/V] + tam[Pst.Def.1Sg]", "twolevel": "a:a k:k a:a r:r :[/V] t:t a:a m:m :[Pst.Def.1Sg]"}, {"lemma": "akar", "tag": "[/V][Pst.NDef.1Sg]", "morphana": "akar[/V]=akar+tam[Pst.NDef.1Sg]=tam", "readable": "akar[/V] + tam[Pst.NDef.1Sg]", "twolevel": "a:a k:k a:a r:r :[/V] t:t a:a m:m :[Pst.NDef.1Sg]"}]	akar	[/V][Pst.Def.1Sg]			.	.
vetni	" "	v34	[{"lemma": "vet", "tag": "[/V][Inf]", "morphana": "vet[/V]=vet+ni[Inf]=ni", "readable": "vet[/V] + ni[Inf]", "twolevel": "v:v e:e t:t :[/V] n:n i:i :[Inf]"}]	kivet	[/Prev][/V][Inf]	sep	35	35	35
magamból	" "	.	[{"lemma": "maga", "tag": "[/N|Pro][1Sg][Ela]", "morphana": "maga[/N|Pro]=mag+am[1Sg]=am+ból[Ela]=ból", "readable": "maga[/N|Pro]=mag + am[1Sg] + ból[Ela]", "twolevel": "m:m a:a g:g :a :[/N|Pro] a:a m:m :[ :1 :S :g :] b:b ó:ó l:l :[Ela]"}]	maga	[/N|Pro][1Sg][Ela]			.	.
minden	" "	.	[{"lemma": "mind", "tag": "[/N|Pro][Supe]", "morphana": "mind[/N|Pro]=mind+en[Supe]=en", "readable": "mind[/N|Pro] + en[Supe]", "twolevel": "m:m i:i n:n d:d :[/N|Pro] e:e n:n :[Supe]"}, {"lemma": "minden", "tag": "[/Det|Q.NDef]", "morphana": "minden[/Det|Q.NDef]=minden", "readable": "minden[/Det|Q.NDef]", "twolevel": "m:m i:i n:n d:d e:e n:n :[/Det|Q.NDef]"}, {"lemma": "minden", "tag": "[/N|Pro][Nom]", "morphana": "minden[/N|Pro]=minden+[Nom]=", "readable": "minden[/N|Pro] + [Nom]", "twolevel": "m:m i:i n:n d:d e:e n:n :[/N|Pro] :[Nom]"}]	minden	[/N|Pro][Nom]			.	.
mást	""	.	[{"lemma": "más", "tag": "[/Adj|Pro][Acc]", "morphana": "más[/Adj|Pro]=más+t[Acc]=t", "readable": "más[/Adj|Pro] + t[Acc]", "twolevel": "m:m á:á s:s :[/Adj|Pro] t:t :[Acc]"}, {"lemma": "más", "tag": "[/N|Pro][Acc]", "morphana": "más[/N|Pro]=más+t[Acc]=t", "readable": "más[/N|Pro] + t[Acc]", "twolevel": "m:m á:á s:s :[/N|Pro] t:t :[Acc]"}]	más	[/N|Pro][Acc]			.	.
,	" "	.	[{"lemma": ",", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	,	[Punct]			.	.
szégyenkezve	" "	.	[{"lemma": "szégyenkezik", "tag": "[/V][_AdvPtcp/Adv]", "morphana": "szégyenkezik[/V]=szégyenkez+ve[_AdvPtcp/Adv]=ve", "readable": "szégyenkezik[/V]=szégyenkez + ve[_AdvPtcp/Adv]", "twolevel": "s:s z:z é:é g:g y:y e:e n:n k:k e:e z:z :i :k :[/V] v:v e:e :[_AdvPtcp/Adv]"}]	szégyenkezik	[/V][_AdvPtcp/Adv]			.	.
gondoltam	" "	.	[{"lemma": "gondolt", "tag": "[/Adj][Poss.1Sg][Nom]", "morphana": "gondol[/V]=gondol+t[_PerfPtcp/Adj]=t+am[Poss.1Sg]=am+[Nom]=", "readable": "gondol[/V] + t[_PerfPtcp/Adj] + am[Poss.1Sg] + [Nom]", "twolevel": "g:g o:o n:n d:d o:o l:l :[/V] t:t :[_PerfPtcp/Adj] a:a m:m :[Poss.1Sg] :[Nom]"}, {"lemma": "gondol", "tag": "[/V][Pst.Def.1Sg]", "morphana": "gondol[/V]=gondol+tam[Pst.Def.1Sg]=tam", "readable": "gondol[/V] + tam[Pst.Def.1Sg]", "twolevel": "g:g o:o n:n d:d o:o l:l :[/V] t:t a:a m:m :[Pst.Def.1Sg]"}, {"lemma": "gondol", "tag": "[/V][Pst.NDef.1Sg]", "morphana": "gondol[/V]=gondol+tam[Pst.NDef.1Sg]=tam", "readable": "gondol[/V] + tam[Pst.NDef.1Sg]", "twolevel": "g:g o:o n:n d:d o:o l:l :[/V] t:t a:a m:m :[Pst.NDef.1Sg]"}]	gondol	[/V][Pst.NDef.1Sg]			.	.
apám	" "	.	[{"lemma": "apa", "tag": "[/N][Poss.1Sg][Nom]", "morphana": "apa[/N]=apá+m[Poss.1Sg]=m+[Nom]=", "readable": "apa[/N]=apá + m[Poss.1Sg] + [Nom]", "twolevel": "a:a p:p á:a :[/N] m:m :[Poss.1Sg] :[Nom]"}]	apa	[/N][Poss.1Sg][Nom]			.	.
sokarcú	" "	.	[{"lemma": "sokarcú", "tag": "[/Adj][Nom]", "morphana": "sok[/Num]=sok+arc[/N]=arc+ú[_Adjz:Ú/Adj]=ú+[Nom]=", "readable": "sok[/Num] + arc[/N] + ú[_Adjz:Ú/Adj] + [Nom]", "twolevel": "s:s o:o k:k :[/Num] a:a r:r c:c :[/N] ú:ú :[_Adjz:Ú/Adj] :[Nom]"}]	sokarcú	[/Adj][Nom]			.	.
életére	""	.	[{"lemma": "élet", "tag": "[/N][Poss.3Sg][Subl]", "morphana": "élet[/N]=élet+e[Poss.3Sg]=é+re[Subl]=re", "readable": "élet[/N] + e[Poss.3Sg]=é + re[Subl]", "twolevel": "é:é l:l e:e t:t :[/N] é:e :[Poss.3Sg] r:r e:e :[Subl]"}, {"lemma": "élet", "tag": "[/N][AnP][Subl]", "morphana": "élet[/N]=élet+é[AnP]=é+re[Subl]=re", "readable": "élet[/N] + é[AnP] + re[Subl]", "twolevel": "é:é l:l e:e t:t :[/N] é:é :[AnP] r:r e:e :[Subl]"}]	élet	[/N][Poss.3Sg][Subl]			.	.
...	"\r\n"	.	[{"lemma": "...", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	...	[Punct]			.	.

"	" "	.	[{"lemma": "\"", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	"	[Punct]			.	.
Mutasd	" "	.	[{"lemma": "mutat", "tag": "[/V][Sbjv.Def.2Sg]", "morphana": "mutat[/V]=mutas+d[Sbjv.Def.2Sg]=d", "readable": "mutat[/V]=mutas + d[Sbjv.Def.2Sg]", "twolevel": "m:m u:u t:t a:a s:t :[/V] d:d :[Sbjv.Def.2Sg]"}]	mutat	[/V][Sbjv.Def.2Sg]			.	.
csak	" "	.	[{"lemma": "csak", "tag": "[/Adv]", "morphana": "csak[/Adv]=csak", "readable": "csak[/Adv]", "twolevel": "c:c s:s a:a k:k :[/Adv]"}]	csak	[/Adv]			.	.
a	" "	.	[{"lemma": "a", "tag": "[/Det|Art.Def]", "morphana": "a[/Det|Art.Def]=a", "readable": "a[/Det|Art.Def]", "twolevel": "a:a :[/Det|Art.Def]"}, {"lemma": "a", "tag": "[/Det|Pro|(Post)]", "morphana": "a[/Det|Pro|(Post)]=a", "readable": "a[/Det|Pro|(Post)]", "twolevel": "a:a :[/Det|Pro|(Post)]"}, {"lemma": "a", "tag": "[/N][Nom]", "morphana": "a[/N|Ltr]=a+[Nom]=", "readable": "a[/N|Ltr] + [Nom]", "twolevel": "a:a :[/N|Ltr] :[Nom]"}, {"lemma": "a", "tag": "[/N|Pro|(Post)][Nom]", "morphana": "a[/N|Pro|(Post)]=a+[Nom]=", "readable": "a[/N|Pro|(Post)] + [Nom]", "twolevel": "a:a :[/N|Pro|(Post)] :[Nom]"}]	a	[/Det|Art.Def]			.	.
szemüvegedet	" "	.	[{"lemma": "szemüveg", "tag": "[/N][Poss.2Sg][Acc]", "morphana": "szem[/N]=szem+üveg[/N]=üveg+ed[Poss.2Sg]=ed+et[Acc]=et", "readable": "szem[/N] + üveg[/N] + ed[Poss.2Sg] + et[Acc]", "twolevel": "s:s z:z e:e m:m :[/N] ü:ü v:v e:e g:g :[/N] e:e d:d :[Poss.2Sg] e:e t:t :[Acc]"}, {"lemma": "szemüveg", "tag": "[/N][Poss.2Sg][Acc]", "morphana": "szemüveg[/N]=szemüveg+ed[Poss.2Sg]=ed+et[Acc]=et", "readable": "szemüveg[/N] + ed[Poss.2Sg] + et[Acc]", "twolevel": "s:s z:z e:e m:m ü:ü v:v e:e g:g :[/N] e:e d:d :[Poss.2Sg] e:e t:t :[Acc]"}]	szemüveg	[/N][Poss.2Sg][Acc]			.	.
"	""	.	[{"lemma": "\"", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	"	[Punct]			.	.
,	" "	.	[{"lemma": ",", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	,	[Punct]			.	.
odanyúlt	""	.	[{"lemma": "odanyúl", "tag": "[/V][Pst.NDef.3Sg]", "morphana": "oda[/Prev]=oda+nyúl[/V]=nyúl+t[Pst.NDef.3Sg]=t", "readable": "oda[/Prev] + nyúl[/V] + t[Pst.NDef.3Sg]", "twolevel": "o:o d:d a:a :[/Prev] n:n y:y ú:ú l:l :[/V] t:t :[Pst.NDef.3Sg]"}, {"lemma": "odanyúlt", "tag": "[/Adj][Nom]", "morphana": "oda[/Prev]=oda+nyúl[/V]=nyúl+t[_PerfPtcp/Adj]=t+[Nom]=", "readable": "oda[/Prev] + nyúl[/V] + t[_PerfPtcp/Adj] + [Nom]", "twolevel": "o:o d:d a:a :[/Prev] n:n y:y ú:ú l:l :[/V] t:t :[_PerfPtcp/Adj] :[Nom]"}, {"lemma": "odanyúlik", "tag": "[/V][Pst.NDef.3Sg]", "morphana": "oda[/Prev]=oda+nyúlik[/V]=nyúl+t[Pst.NDef.3Sg]=t", "readable": "oda[/Prev] + nyúlik[/V]=nyúl + t[Pst.NDef.3Sg]", "twolevel": "o:o d:d a:a :[/Prev] n:n y:y ú:ú l:l :i :k :[/V] t:t :[Pst.NDef.3Sg]"}, {"lemma": "odanyúlt", "tag": "[/Adj][Nom]", "morphana": "oda[/Prev]=oda+nyúlik[/V]=nyúl+t[_PerfPtcp/Adj]=t+[Nom]=", "readable": "oda[/Prev] + nyúlik[/V]=nyúl + t[_PerfPtcp/Adj] + [Nom]", "twolevel": "o:o d:d a:a :[/Prev] n:n y:y ú:ú l:l :i :k :[/V] t:t :[_PerfPtcp/Adj] :[Nom]"}]	odanyúlt	[/Adj][Nom]			.	.
,	" "	.	[{"lemma": ",", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	,	[Punct]			.	.
el	" "	p35	[{"lemma": "el", "tag": "[/Prev]", "morphana": "el[/Prev]=el", "readable": "el[/Prev]", "twolevel": "e:e l:l :[/Prev]"}]		[/Prev]	conn	36	36	36
akartam	" "	.	[{"lemma": "akart", "tag": "[/Adj][Poss.1Sg][Nom]", "morphana": "akar[/V]=akar+t[_PerfPtcp/Adj]=t+am[Poss.1Sg]=am+[Nom]=", "readable": "akar[/V] + t[_PerfPtcp/Adj] + am[Poss.1Sg] + [Nom]", "twolevel": "a:a k:k a:a r:r :[/V] t:t :[_PerfPtcp/Adj] a:a m:m :[Poss.1Sg] :[Nom]"}, {"lemma": "akar", "tag": "[/V][Pst.Def.1Sg]", "morphana": "akar[/V]=akar+tam[Pst.Def.1Sg]=tam", "readable": "akar[/V] + tam[Pst.Def.1Sg]", "twolevel": "a:a k:k a:a r:r :[/V] t:t a:a m:m :[Pst.Def.1Sg]"}, {"lemma": "akar", "tag": "[/V][Pst.NDef.1Sg]", "morphana": "akar[/V]=akar+tam[Pst.NDef.1Sg]=tam", "readable": "akar[/V] + tam[Pst.NDef.1Sg]", "twolevel": "a:a k:k a:a r:r :[/V] t:t a:a m:m :[Pst.NDef.1Sg]"}]	akar	[/V][Pst.NDef.1Sg]			.	.
kapni	" "	v35	[{"lemma": "kap", "tag": "[/V][Inf]", "morphana": "kap[/V]=kap+ni[Inf]=ni", "readable": "kap[/V] + ni[Inf]", "twolevel": "k:k a:a p:p :[/V] n:n i:i :[Inf]"}]	elkap	[/Prev][/V][Inf]	sep	36	36	36
a	" "	.	[{"lemma": "a", "tag": "[/Det|Art.Def]", "morphana": "a[/Det|Art.Def]=a", "readable": "a[/Det|Art.Def]", "twolevel": "a:a :[/Det|Art.Def]"}, {"lemma": "a", "tag": "[/Det|Pro|(Post)]", "morphana": "a[/Det|Pro|(Post)]=a", "readable": "a[/Det|Pro|(Post)]", "twolevel": "a:a :[/Det|Pro|(Post)]"}, {"lemma": "a", "tag": "[/N][Nom]", "morphana": "a[/N|Ltr]=a+[Nom]=", "readable": "a[/N|Ltr] + [Nom]", "twolevel": "a:a :[/N|Ltr] :[Nom]"}, {"lemma": "a", "tag": "[/N|Pro|(Post)][Nom]", "morphana": "a[/N|Pro|(Post)]=a+[Nom]=", "readable": "a[/N|Pro|(Post)] + [Nom]", "twolevel": "a:a :[/N|Pro|(Post)] :[Nom]"}]	a	[/Det|Art.Def]			.	.
fejem	""	.	[{"lemma": "fej", "tag": "[/N][Poss.1Sg][Nom]", "morphana": "fej[/N]=fej+em[Poss.1Sg]=em+[Nom]=", "readable": "fej[/N] + em[Poss.1Sg] + [Nom]", "twolevel": "f:f e:e j:j :[/N] e:e m:m :[Poss.1Sg] :[Nom]"}, {"lemma": "fej", "tag": "[/V][Prs.Def.1Sg]", "morphana": "fej[/V]=fej+em[Prs.Def.1Sg]=em", "readable": "fej[/V] + em[Prs.Def.1Sg]", "twolevel": "f:f e:e j:j :[/V] e:e m:m :[Prs.Def.1Sg]"}]	fej	[/N][Poss.1Sg][Nom]			.	.
,	" "	.	[{"lemma": ",", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	,	[Punct]			.	.
azután	" "	.	[{"lemma": "azután", "tag": "[/Post]", "morphana": "az[/Det|Pro]=az+után[/Post]=után", "readable": "az[/Det|Pro] + után[/Post]", "twolevel": "a:a z:z :[/Det|Pro] u:u t:t á:á n:n :[/Post]"}, {"lemma": "azután", "tag": "[/Adv|Pro]", "morphana": "az[/N|Pro]=az+után[/Post]=után+[/Adv|Pro]=", "readable": "az[/N|Pro] + után[/Post] + [/Adv|Pro]", "twolevel": "a:a z:z :[/N|Pro] u:u t:t á:á n:n :[/Post] :[/Adv|Pro]"}, {"lemma": "azután", "tag": "[/Post]", "morphana": "az[/N|Pro]=az+után[/Post]=után", "readable": "az[/N|Pro] + után[/Post]", "twolevel": "a:a z:z :[/N|Pro] u:u t:t á:á n:n :[/Post]"}, {"lemma": "azután", "tag": "[/Adv]", "morphana": "azután[/Adv]=azután", "readable": "azután[/Adv]", "twolevel": "a:a z:z u:u t:t á:á n:n :[/Adv]"}]	azután	[/Adv]			.	.
mégsem	" "	.	[{"lemma": "mégsem", "tag": "[/Adv]", "morphana": "mégsem[/Adv]=mégsem", "readable": "mégsem[/Adv]", "twolevel": "m:m é:é g:g s:s e:e m:m :[/Adv]"}]	mégsem	[/Adv]			.	.
mozdultam	""	.	[{"lemma": "mozdult", "tag": "[/Adj][Poss.1Sg][Nom]", "morphana": "mozdul[/V]=mozdul+t[_PerfPtcp/Adj]=t+am[Poss.1Sg]=am+[Nom]=", "readable": "mozdul[/V] + t[_PerfPtcp/Adj] + am[Poss.1Sg] + [Nom]", "twolevel": "m:m o:o z:z d:d u:u l:l :[/V] t:t :[_PerfPtcp/Adj] a:a m:m :[Poss.1Sg] :[Nom]"}, {"lemma": "mozdul", "tag": "[/V][Pst.Def.1Sg]", "morphana": "mozdul[/V]=mozdul+tam[Pst.Def.1Sg]=tam", "readable": "mozdul[/V] + tam[Pst.Def.1Sg]", "twolevel": "m:m o:o z:z d:d u:u l:l :[/V] t:t a:a m:m :[Pst.Def.1Sg]"}, {"lemma": "mozdul", "tag": "[/V][Pst.NDef.1Sg]", "morphana": "mozdul[/V]=mozdul+tam[Pst.NDef.1Sg]=tam", "readable": "mozdul[/V] + tam[Pst.NDef.1Sg]", "twolevel": "m:m o:o z:z d:d u:u l:l :[/V] t:t a:a m:m :[Pst.NDef.1Sg]"}]	mozdul	[/V][Pst.NDef.1Sg]			.	.
.	"\r\n"	.	[{"lemma": ".", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	.	[Punct]			.	.

